,description,spotify_id,name,no_tracks
0,Ultimate list of head-boppers.  - Submit songs at http:&#x2F;&#x2F;play.soundplate.com&#x2F;bestyouhavent - I&#x27;ll gladly give it a listen!,3F8nzauyKh3YMqkx7nUO3l,The Very Best You Haven't Heard About,392
1,,2FNVMVvyDvEumO8mbkHBxK,Pitchfork 100 best tracks 2015 - detOkÃ¤nda.nu,92
2,Buzz Tracks TOP 100 for 2015,3NlxYlzZ2Mb4mLVryphp4B,2015 - The 100,101
3,,020Zx6tGhxrMxW2E74VzG9,Not Your Average Christmas,41
4,,3P6iaNsrF5cR8Rjpl2xPDE,100 Best New Artist 2015,105
5,,5137IgxwxPv1dXfsQkMMuE,DetOkÃ¤nda.nu #74 Dec 2015 rebellion,24
6,"So this is Christmas, and what have you done? Another year over, a new one just begun!",4uXqD5E8x8R8Ov8AKwVxhG,Christmas,93
7,Great tunes with an Eastern aroma,6kXk9fAy9JCq8N1gwrbxDy,Oriental Espresso,30
8,,4cs9OsFKYQ0r7wwd5hmjpc,Indiescover December 2015,37
9,"They are magic in sound, perfect ambience, the soundtrack of beauty. Lovely, Folk, Beauty, Paceful, Chill, Relax, Brilliant, Pretty, Nice, Love, Calm...",04fzbxkoRZW0jDbu7lkIwf,Most Beautiful Songs : As Beautiful As It Sounds,89
10,"Mid- and downtempo european style house music. It&#x27;s same time melancholic and happy, calm and groovy. Perfect for getting focused to work&#x2F;study, relaxing or just daydreaming. #DeepHouse #SoftHouse #TropicalHouse #DiscoHouse #FutureHouse #Downtempo",2YhDK5qfwiP1dzmVZacFSU,European Chill House 4,76
11,,61RMzseNKapGbR6SK7uMsC,This Week in 1980 - Week 8,38
12,,7hJTW7aju8HizgmsY5ii5a,HypeMachine Zeitgeist 2015 (Artists),50
13,,77ctg4oGx88es5IUMGwfTJ,This Week in 1989 - Week 7,38
14,,5aJKNPKeumTZaezIXSDGwu,The Best 35 Songs You've Never Heard (Pt. 1),36
15,"Fine selection including the best and timeless christmas songs like White Christmas, Silent night, Jingle Bells and many more. Enjoy your Christmas 2016! Follow us on <a href=""https://www.facebook.com/believedigitalitalia?fref=nf"">FACEBOOK</a> , <a href=""https://twitter.com/PlaylistAdvisor"">TWITTER</a> and <a href=""http://www.youtube.com/user/natale"">YOUTUBE</a>",6p5UpYDojTZ2poywfmvbqX,84 Hits - Christmas Songs,101
16,,0msFvwkXufQPjj4vnhoJps,Gaming & PVP,1766
17,"A second journey into Sunshine Soul and Kick-Ass Groove featuring The Pointer Sisters, Darondo, Willie Hutch, Isaac Hayes, Maxine Brown, Tyrone Davis, The Manhattans and much more. More Like This: <a href=""spotify:user:simon1983:playlist:4M0TiyS4ofHCEBDoIjWQyq"">Soul Drops 1</a> | <a href=""spotify:user:simon1983:playlist:71P9AixsAuE9i3f1Re4iwz"">Cover Classics</a>",7m3aaTxCjuq7e3RXMl5Q9L,Soul Drops! 2,20
18,,41DyiTHHrmCRj3zJ4d4tjy,top 100 indie jams 2015,100
19,"My personal favorites of the 80&#x27;s! 888 great songs from that decade. From pop to metal, from rap to disco. Grab your Walkman, turn up the treble and get ready to celebrate the golden era with these best &#x27;80s songs. Alternative Rock, Pop, New Wave, Electronic, Metal, Rap, Rock, Indie, Gothic",428zCMVCQGMmbCCYawqsBV,80s TOP 888 ðŸŽ±ðŸŽ±ðŸŽ± Best of the 80's ðŸŽ±ðŸŽ±ðŸŽ± EightiesðŸŽ±ðŸŽ±ðŸŽ± 80s ðŸŽ±ðŸŽ±ðŸŽ± The Sound of the 80's,889
20,"A collection of Rap, Pop, and EDM songs that suits a party of any size or kind.",5g3AJrSTgmzsiVfs5N4nHp,Party | Gates,38
21,Crossroad Cafe - Internet Radio,5WoEmxyYczjCm1CiwD1k2r,FOLK: A sprinkling,27
22,,2OFfgjs6kj0eA6FNayhAAJ,100 Greatest Pop Songs Ever,100
23,,2ofdCLICHquwOTgPJfZsZO,jumps,11
24,"Explore new music from the country roads of America. A playlist with the best songs from the sea to the shining sea, filled with Country, Blues, Folk, Roots &amp; Americana songs at its best. Follow the HEARTBEAT OF AMERICANA and check out the Topsify <a href=""http://open.spotify.com/user/playlistmedenmark"">profile</a>",0ETvdb3FNttb9UPFMcaS31,Heartbeat Of AMERICANA ðŸ‡ºðŸ‡¸,101
25,Great movie soundtracks with piano music.,7oicbXX0l8guqxjH5qij1q,The Greatest Movie Themes - Piano,116
26,"Love, Love, Love! Here's the Top 40 compliation of Beatles mellow creations from their first album in 1963 to their last one in 1970. Listen, reflect, relax, and enjoy!",0tsu9axF3CsYD2ADxiRXK2,Beatles Ballads Anthology,41
27,"Silky slow jams for the morning after the night before. For thousands more quality playlists check out <a href=""http://playlists.net"">Playlists.net</a> where you can share your playlists too. Visit the <a href=""http://open.spotify.com/user/topsify"">Topsify</a> profile for even more brilliant playlists.",2gMjVOInaVSLV40KGY5vEV,Easy Like Sunday Morning,120
28,,1WzqNndeANO23OMnIrwTk5,"""Nah I'd Rather Turn Up"" - Hip Hop Grooves",38
29,,0dyiaySMt75rD8XERaDvbV,James Brown B3 Instrumental,56
30,,6RYbFVAiSJ14OudXtpHr4I,Pauline,23
31,The 500 greatest songs of all time,5Rrf7mqN8uus2AaQQQNdc1,500 Greatest Songs Of All Time,500
32,,5gTfk1u2HwgwbwwcBibwRc,Phil - Chillout,71
33,Crossroad Cafe - Internet Radio,7KNDpWQy3qMthJWXNDQutM,Low Pressure,26
34,,4kae6PxGzDGVnI73KCKMrI,Soulful & Exciting 1986,21
35,,0qQ0EZQGEHddZafsSf6JtX,New Years 2015,70
36,,0i0N9QNaZao3RBv0t4g5uW,"The best latin music classics (updated daily) (Salsa, Merengue, Reggaeton, Pop, Rock)",291
37,"There have been classier decadesâ€”in fact, let&#x27;s agree that the â€™80s was probably the least classy decade of all timeâ€”and certainly there have been cooler decades, we&#x27;ll give you that. But from a pop perspective, the â€™80s delivered an embarrassment of riches, giving us some of the greatest pop stars!",6BYF7TZIFGQgi7OEHFExjg,1980s,613
38,,0V66wMHtVXUk16fI9YlR7v,The Underground 50 of 2015,50
39,,43Pmh0BcvrSD306TCDHrkg,New Years Eve Party 2015,123
40,,3qiq3yYnhuatiDVUR2KCJi,Love Songs With A Meaning,39
41,,2eKUEA5caMDjk47oVpiKG5,Christmas #1's!,30
42,,4Xg0lhPXJKXoWuRGHg3gnu,Classic Summer Songs,69
43,"â€‹Music has no rules. Fast, slow, new, old, anything goes! Here&#x27;s what&#x27;s spinning on my turntables this month. Some great music by White Denim, Ezra Furman, Edward Sharpe &amp; The Magnetic Zeros, EL VY, and so much more. Happy Holidays!!",0soHk3IzejVWpgJZ49SiDy,The Tasty Turntable - December 2015,99
44,"chillout, rap, smoke, weed, new songs, drake, kanye west, 2 chainz, wiz khalifa, the game, will.i.am, kendrick lamar, snoop dogg, 50 cent, lil wayne, nelly, 2 pac, big sean, the weeknd, rae sremmurd, schoolboy q, gucci mane, rihanna",1w4ewZUfzwa8eyWkQAf8WY,"Chill Rap - Drake, Kendrick Lamar, Wiz Khalifa - new songs and more..",240
45,,3irhbUVY7gBJkdkjCclBgL,ROBOT,139
46,,35erzhDFfzMI71apx6gqHG,BESTOF//INDIE//ALT//2015,104
47,,2Z9ZlgNyEX4zuAxhf4NMUN,2015 Remixed,17
48,,3l1e5Kg8W8OSYpDW6ttXnx,Cinema Italiano,66
49,The biggest and baddest EDM tracks of the moment!,1MKU4cb0cT9QZRcf6rv9Lv,EDM,88
50,,3cdTSYFY95590SiRSlTlb7,New Year's Eve 2014 Edition,105
51,The perfect playlist for any Kid&#x27;s Christmas Disco!,1CRBNj2vjeZZMmqkJosUSm,Kids Christmas Party Songs,71
52,,6RyDqTDP6eYO67HfWF9434, Beats,332
53,,4RdjoL1XI4aYRJCZCGrGBc,Phil - Old School Driving Rock Anthems,33
54,,37XUxTLhakbIObOv6MvHfp,Funky & Soul Bar // Disco,156
55,,2caUCKVoyk9MO5zXITv4V0,INDIE Guide (Best Songs 2015),100
56,"Selections from the 2013 Virgin FreeFest at Merriweather Post Pavilion in Colombia, MD",3iYJyCd11vT6dT3eFiR2Km,2013 Virgin FreeFest Mixtape,37
57,,0ivFCkRwEuHpfWKHYLa556,The Machine,49
58,,25ZrpkBNT33vNB7iAK10oW,Music Made for Headphones,96
59,"Hit play and sit back an relax. This playlist has everything you need for Christmas 2016 featuring old school songs, tunes played in Starbucks and other favourites. Whether you&#x27;re hosting a dinner party or want background music while putting up the tree, this is one playlist you&#x27;ll want to keep.",2c884gsWGvFAiMeHanq5Jr,Christmas 2016,148
60,,2TmsjQkzycIOXcZkLRtBiM,New Music TOP 200,221
61,,39ZTPVHM8VrSYuEanqhDsX,NME 25 Best albums of 2015 - detOkÃ¤nda.nu,293
62,"Fresh songs every week that are making my heart flutter and/or my feet skip about. Curated by Stuart Dredge (<a href=""http://www.twitter.com/stuartdredge"">@stuartdredge</a> on Twitter) from <a href=""http://www.musically.com"">Music Ally</a>.",7gMRIq35AB9N979kjLtNvu,Songs to Love in 2018,20
63,,6qJU8PNmymC5O63mvxvZs7,100+ Pop Goes Punk songs,191
64,,0Qw0vqwghJL8Ia5Wi6qbyW,Love Soundtrack - Gaspar Noe OST,26
65,,1mnY1BVBAq7ZmVg7X5BVDJ,Strictly Drum And Bass... 54,101
66,"Las Ãºltimas joyitas del panorama indie espaÃ±ol. Ritmos, voces, poesÃ­as, riesgos, alma y mucho arte. (Actualizada mensualmente) Escucha <a href=""spotify:playlist:1mLP2N6uNtQJkVy24CP8vl"">Nuevas Movidas EspaÃ±olas</a>",64um0QX3dSmuc0c54UMbj8,Indie / Alternativo en EspaÃ±ol 2021 : RADAR ,144
67,Playlist of Laurent Garnier&#x27;s monthly radioshow on radiomeuh.com,1vTNM6GCLA2x7gyqPL37cP,Laurent Garnier - It Is What It Is (Season 7 and 6),264
68,,0nb98IUQXzL0BPw99g4Ddt,Phil - Other,52
69,,2CvXcigENxAaqy12lWJq97,Disco Warm Up 7,49
70,,2mjg8f0xJnHgjWgLcTZJNx,Best Indie Tracks (â‰¤ 2016),2500
71,Crossroad Cafe - Internet Radio,7ktTPYKhn6YQmB3RifUlAO,Blues Ã  la FranÃ§aise ðŸ‡«ðŸ‡· ,50
72,,6BZDOi5mBuZvSySrNXobzS,Namaste,10
